epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.36006373167037964,0.00019999999494757503,3.39626145362854,0.7846481800079346,2.272779703140259
1,0.5156664848327637,0.00019999999494757503,2.710059642791748,0.8805969953536987,1.8642048835754395
2,0.6123207807540894,0.00019999999494757503,2.3056325912475586,0.9253731369972229,1.6338149309158325
3,0.6962293982505798,0.00019999999494757503,1.9898409843444824,0.94669508934021,1.4522289037704468
4,0.7079129219055176,0.00019999999494757503,1.8169221878051758,0.9637526869773865,1.3174304962158203
5,0.7541157603263855,0.00019999999494757503,1.6266765594482422,0.9829424023628235,1.1872886419296265
6,0.7713754773139954,0.00019999999494757503,1.485249400138855,0.9893389940261841,1.0677448511123657
7,0.7812002301216125,0.00019999999494757503,1.392380714416504,0.9914712309837341,0.9641426801681519
8,0.8043016195297241,0.00019999999494757503,1.2659465074539185,0.9914712309837341,0.8819577097892761
9,0.8359001874923706,0.00019999999494757503,1.1341824531555176,0.9914712309837341,0.7990155816078186
10,0.8393520712852478,0.00019999999494757503,1.0708307027816772,0.9914712309837341,0.7293649315834045
11,0.840945303440094,0.00019999999494757503,0.9918355941772461,0.9914712309837341,0.6672855019569397
