epoch,accuracy,loss,val_accuracy,val_loss
0,0.7393749952316284,0.9555511474609375,0.4950000047683716,1.299716830253601
1,0.7858333587646484,0.8074554800987244,0.6612499952316284,1.0244989395141602
2,0.7787500023841858,0.7676008343696594,0.550000011920929,0.9547083973884583
3,0.7947916388511658,0.7465499639511108,0.6050000190734863,1.0666089057922363
4,0.7954166531562805,0.7345611453056335,0.5062500238418579,1.0406337976455688
5,0.7954166531562805,0.7191250324249268,0.7024999856948853,0.9996951222419739
6,0.7958333492279053,0.7048681378364563,0.5087500214576721,1.0828273296356201
7,0.8085416555404663,0.6988894939422607,0.5074999928474426,1.1400638818740845
8,0.8033333420753479,0.6933477520942688,0.5149999856948853,1.140313982963562
9,0.8066666722297668,0.6872395873069763,0.5162500143051147,1.1357545852661133
10,0.7981250286102295,0.6847545504570007,0.5287500023841858,1.1797401905059814
11,0.8077083230018616,0.6742423176765442,0.5799999833106995,1.240134835243225
12,0.8081250190734863,0.6809327602386475,0.5462499856948853,1.2132999897003174
