epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.9535316228866577,9.999999747378752e-06,0.13488730788230896,1.0,0.001438408624380827
1,0.9665427803993225,9.999999747378752e-06,0.09515263140201569,1.0,0.0017206250922754407
2,0.9697291851043701,9.999999747378752e-06,0.0866483822464943,1.0,0.001672148471698165
3,0.9718534350395203,9.999999747378752e-06,0.08723415434360504,1.0,0.0016655741492286325
4,0.9673393368721008,9.999999747378752e-06,0.08644446730613708,1.0,0.001382110989652574
5,0.9614976048469543,4.999999873689376e-06,0.10186117887496948,1.0,0.0013077488401904702
6,0.9729155898094177,4.999999873689376e-06,0.08334008604288101,1.0,0.0012280048104003072
7,0.9699946641921997,4.999999873689376e-06,0.0951148197054863,1.0,0.001236099749803543
8,0.9710568189620972,4.999999873689376e-06,0.0811145007610321,1.0,0.00107538269367069
9,0.9729155898094177,4.999999873689376e-06,0.07106945663690567,1.0,0.0009944309713318944
10,0.9702602028846741,4.999999873689376e-06,0.0875643864274025,1.0,0.0010036128805950284
11,0.973712146282196,4.999999873689376e-06,0.08012060821056366,1.0,0.0010080623906105757
12,0.9702602028846741,4.999999873689376e-06,0.07778069376945496,1.0,0.0009551465627737343
13,0.9750398397445679,4.999999873689376e-06,0.07182209938764572,1.0,0.0009070570231415331
14,0.9776951670646667,4.999999873689376e-06,0.06313858926296234,1.0,0.0008852657629176974
15,0.9750398397445679,4.999999873689376e-06,0.0782330110669136,1.0,0.0008612662786617875
16,0.9784917831420898,4.999999873689376e-06,0.07209435105323792,1.0,0.0008270922116935253
17,0.9800849556922913,4.999999873689376e-06,0.07888978719711304,1.0,0.0007783279288560152
18,0.9745087623596191,4.999999873689376e-06,0.07555227726697922,1.0,0.0008278989116661251
19,0.9779607057571411,4.999999873689376e-06,0.0677584856748581,1.0,0.0008381371735595167
