epoch,accuracy,loss,val_accuracy,val_loss
0,0.7595833539962769,0.49598023295402527,0.5649999976158142,0.9077302813529968
1,0.7745833396911621,0.46032923460006714,0.5587499737739563,1.0158891677856445
2,0.7743750214576721,0.4422677159309387,0.5612499713897705,1.056543231010437
3,0.784166693687439,0.43569040298461914,0.5649999976158142,1.0339103937149048
4,0.7868750095367432,0.4220521152019501,0.5625,1.0698803663253784
5,0.7856249809265137,0.4214412271976471,0.5612499713897705,1.1172606945037842
6,0.7877083420753479,0.41036492586135864,0.5550000071525574,1.0209308862686157
7,0.7856249809265137,0.4096907377243042,0.5550000071525574,1.0231131315231323
8,0.7995833158493042,0.40960076451301575,0.5537499785423279,1.055344581604004
9,0.7947916388511658,0.39472052454948425,0.550000011920929,1.01689875125885
10,0.7962499856948853,0.4000665247440338,0.5537499785423279,0.9893829822540283
