epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9425.36,2.33874,7.32638,2.11676,0.96993,0.49482,0.56844,0.24281,2.61303,7.94115,2.45818,0.000639856,0.000639856,0.000639856
43,9647.78,2.348,7.46442,2.15899,0.97573,0.58333,0.60845,0.25673,2.61396,8.05389,2.46788,0.000624721,0.000624721,0.000624721
44,9871.12,2.36688,7.49591,2.16453,0.57673,0.5882,0.51402,0.2122,2.66736,8.29306,2.47186,0.000609463,0.000609463,0.000609463
45,10092.5,2.3233,7.53633,2.10926,0.4671,0.5882,0.51138,0.21762,2.64747,8.1171,2.48259,0.000594097,0.000594097,0.000594097
46,10313.6,2.32379,7.55986,2.11945,0.97503,0.58243,0.6056,0.26872,2.62321,8.10126,2.52809,0.000578639,0.000578639,0.000578639
47,10535.5,2.30738,7.27319,2.09567,0.98008,0.57699,0.60341,0.24621,2.61917,8.09074,2.49662,0.000563104,0.000563104,0.000563104
48,10756.4,2.32093,7.35547,2.12543,0.97366,0.54167,0.59326,0.22447,2.61668,8.01321,2.57363,0.000547507,0.000547507,0.000547507
49,10977.9,2.33593,7.52464,2.13739,0.86175,0.54167,0.56351,0.23097,2.60143,8.05547,2.52817,0.000531864,0.000531864,0.000531864
50,11198.3,2.29501,7.27294,2.09696,0.91724,0.58052,0.59004,0.28707,2.61354,8.29662,2.58805,0.00051619,0.00051619,0.00051619
51,11419.7,2.31857,7.36768,2.09501,0.93548,0.54167,0.58774,0.28179,2.6081,7.99785,2.4496,0.0005005,0.0005005,0.0005005
52,11641.9,2.335,7.34786,2.11519,0.90677,0.54167,0.57808,0.24063,2.58434,8.03801,2.46256,0.00048481,0.00048481,0.00048481
53,11862.2,2.2797,7.4561,2.09494,0.83575,0.58333,0.55965,0.26638,2.58193,7.93003,2.42937,0.000469136,0.000469136,0.000469136
54,12082.6,2.29347,7.36421,2.10797,0.88159,0.53117,0.56134,0.22293,2.62018,8.05131,2.47202,0.000453493,0.000453493,0.000453493
55,12307.1,2.292,7.33716,2.13574,0.7406,0.43914,0.50329,0.21353,2.63269,8.185,2.51856,0.000437896,0.000437896,0.000437896
