epoch,accuracy,loss,val_accuracy,val_loss
0,0.7238449454307556,1.630570888519287,0.9829424023628235,1.2500920295715332
1,0.7063196897506714,1.668222188949585,0.9808102250099182,1.2440013885498047
2,0.7265002727508545,1.623396873474121,0.9765458703041077,1.2418183088302612
3,0.7222517132759094,1.6381856203079224,0.9765458703041077,1.2404496669769287
4,0.7214550971984863,1.6466926336288452,0.9744136333465576,1.2394014596939087
5,0.7270313501358032,1.6159332990646362,0.9744136333465576,1.2383038997650146
6,0.7164099812507629,1.6472946405410767,0.9744136333465576,1.2355104684829712
7,0.7145512700080872,1.6369062662124634,0.9786780476570129,1.2347038984298706
8,0.7148168087005615,1.6298365592956543,0.9786780476570129,1.2323180437088013
9,0.7296866774559021,1.6168901920318604,0.9765458703041077,1.2317899465560913
