epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.3109399974346161,9.999999747378752e-05,5.100885391235352,0.5628997683525085,4.002232074737549
1,0.3337758779525757,9.999999747378752e-05,4.638891220092773,0.7057569026947021,3.591310501098633
2,0.4190122187137604,9.999999747378752e-05,4.134674549102783,0.8187633156776428,3.2384371757507324
3,0.4652150869369507,9.999999747378752e-05,3.7664201259613037,0.863539457321167,2.9428675174713135
4,0.48672330379486084,9.999999747378752e-05,3.503844738006592,0.884861409664154,2.7092578411102295
5,0.5220392942428589,9.999999747378752e-05,3.208940267562866,0.8912580013275146,2.4932355880737305
6,0.5294742584228516,9.999999747378752e-05,3.0067873001098633,0.9211087226867676,2.2937543392181396
7,0.5655868053436279,9.999999747378752e-05,2.7717692852020264,0.9402984976768494,2.1186604499816895
8,0.5916091203689575,9.999999747378752e-05,2.5678718090057373,0.9530916810035706,1.9547874927520752
9,0.6048858165740967,9.999999747378752e-05,2.4232664108276367,0.9616204500198364,1.8072975873947144
10,0.6136484146118164,9.999999747378752e-05,2.2658348083496094,0.968017041683197,1.6825453042984009
11,0.6330323815345764,9.999999747378752e-05,2.137280225753784,0.9637526869773865,1.5644956827163696
12,0.6441848278045654,9.999999747378752e-05,1.996973991394043,0.968017041683197,1.4528465270996094
13,0.6696760654449463,9.999999747378752e-05,1.8964403867721558,0.968017041683197,1.3562201261520386
14,0.66595858335495,9.999999747378752e-05,1.7931604385375977,0.9786780476570129,1.265775442123413
