epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.5292087197303772,0.0003000000142492354,2.285236120223999,0.9722814559936523,1.2607749700546265
1,0.748274028301239,0.0003000000142492354,1.5840293169021606,0.9786780476570129,1.0677464008331299
2,0.8231545686721802,0.0003000000142492354,1.3205612897872925,0.9872068166732788,0.929502010345459
3,0.8661710023880005,0.0003000000142492354,1.1493107080459595,0.9957355856895447,0.8251346945762634
4,0.8765268325805664,0.0003000000142492354,1.0302932262420654,0.9978678226470947,0.7367610931396484
5,0.8953797221183777,0.0003000000142492354,0.9269755482673645,0.9978678226470947,0.6618528962135315
6,0.9067976474761963,0.0003000000142492354,0.8357430100440979,0.9978678226470947,0.5945901274681091
7,0.9235262870788574,0.0003000000142492354,0.737274169921875,0.9978678226470947,0.5337387323379517
8,0.9182156324386597,0.0003000000142492354,0.689264714717865,0.9957355856895447,0.4782622754573822
9,0.9291024804115295,0.0003000000142492354,0.624125599861145,1.0,0.4288489818572998
10,0.9253849983215332,0.0003000000142492354,0.5918041467666626,1.0,0.3894282877445221
11,0.926712691783905,0.0003000000142492354,0.5468026995658875,0.9978678226470947,0.3522658050060272
12,0.9261816143989563,0.0003000000142492354,0.508923351764679,1.0,0.3214699923992157
13,0.937865138053894,0.0003000000142492354,0.46287626028060913,1.0,0.29380863904953003
14,0.9352097511291504,0.0003000000142492354,0.43775758147239685,1.0,0.26842933893203735
