epoch,accuracy,loss,val_accuracy,val_loss
0,0.8892724514007568,0.5601557493209839,0.9978678226470947,0.263082355260849
1,0.9105151295661926,0.4811033606529236,0.9978678226470947,0.2646510899066925
2,0.9211364984512329,0.46725523471832275,0.9957355856895447,0.2629765272140503
3,0.9375995993614197,0.4246947765350342,0.9957355856895447,0.26093101501464844
4,0.9447689652442932,0.40456098318099976,0.9978678226470947,0.2581019699573517
5,0.9575145840644836,0.3749947249889374,1.0,0.254100501537323
6,0.9537971615791321,0.3756216764450073,1.0,0.25102484226226807
7,0.9540626406669617,0.37212517857551575,1.0,0.24830521643161774
8,0.9622942209243774,0.3511301279067993,1.0,0.24685169756412506
9,0.9668082594871521,0.3361786901950836,1.0,0.24542966485023499
