epoch,accuracy,loss,val_accuracy,val_loss
0,0.44803112745285034,1.6876928806304932,0.8095238208770752,0.7788985371589661
1,0.6675823926925659,1.1626726388931274,0.9047619104385376,0.6714960932731628
2,0.7422161102294922,1.0059216022491455,0.9377289414405823,0.630159854888916
3,0.7843406796455383,0.9249184131622314,0.9542124271392822,0.6251043081283569
4,0.8246337175369263,0.8600128889083862,0.9615384340286255,0.614427924156189
5,0.8214285969734192,0.8597313165664673,0.9633699655532837,0.613884449005127
6,0.8232600688934326,0.8322312831878662,0.9670329689979553,0.610533595085144
7,0.8596611618995667,0.7933846116065979,0.9688644409179688,0.6080703735351562
8,0.8637820482254028,0.7652103304862976,0.9670329689979553,0.5966490507125854
9,0.870192289352417,0.7554917931556702,0.9652014374732971,0.5998268723487854
10,0.8720238208770752,0.7508761286735535,0.9633699655532837,0.5921599268913269
11,0.8731684684753418,0.7385719418525696,0.9652014374732971,0.5902675986289978
12,0.8809523582458496,0.7313421368598938,0.9652014374732971,0.5869017839431763
13,0.8836996555328369,0.7242204546928406,0.9633699655532837,0.5841207504272461
14,0.8836996555328369,0.724173367023468,0.9633699655532837,0.5792626738548279
15,0.8871337175369263,0.7106848955154419,0.9633699655532837,0.5815293788909912
16,0.8933150172233582,0.7018067240715027,0.9633699655532837,0.5813929438591003
17,0.8898809552192688,0.7087321281433105,0.9652014374732971,0.5806531310081482
18,0.8935439586639404,0.7069745063781738,0.9615384340286255,0.5785318613052368
19,0.8889651894569397,0.714108943939209,0.9633699655532837,0.5796950459480286
