epoch,accuracy,loss,val_accuracy,val_loss
0,0.762708306312561,0.6606069207191467,0.5899999737739563,1.1135127544403076
1,0.7679166793823242,0.6341773867607117,0.6137499809265137,1.1749122142791748
2,0.7847916483879089,0.611404538154602,0.6025000214576721,1.1650880575180054
3,0.7829166650772095,0.6070775389671326,0.6000000238418579,1.1491235494613647
4,0.7829166650772095,0.600459635257721,0.5975000262260437,1.1429252624511719
5,0.7777083516120911,0.6041871309280396,0.5924999713897705,1.126050591468811
6,0.784375011920929,0.596078097820282,0.5887500047683716,1.1264841556549072
7,0.7941666841506958,0.5867415070533752,0.5724999904632568,1.1262733936309814
8,0.7799999713897705,0.5881908535957336,0.5762500166893005,1.111539602279663
9,0.7945833206176758,0.5833831429481506,0.5625,1.1045186519622803
10,0.7904166579246521,0.5813835263252258,0.5450000166893005,1.1137138605117798
11,0.79666668176651,0.580108106136322,0.5400000214576721,1.123510718345642
12,0.7850000262260437,0.5814195871353149,0.5425000190734863,1.1263138055801392
13,0.7902083396911621,0.5756207704544067,0.5412499904632568,1.134399652481079
14,0.7831249833106995,0.5755048394203186,0.5400000214576721,1.1412174701690674
15,0.7975000143051147,0.5682715773582458,0.5387499928474426,1.1542247533798218
16,0.7879166603088379,0.5681501626968384,0.5375000238418579,1.1617470979690552
17,0.7987499833106995,0.5633437633514404,0.5337499976158142,1.1570842266082764
18,0.7960416674613953,0.5642057061195374,0.5337499976158142,1.1407772302627563
19,0.7985416650772095,0.5610824823379517,0.5325000286102295,1.1776502132415771
