epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.620286762714386,0.0002500000118743628,1.0622261762619019,0.9445629119873047,0.3083255887031555
1,0.8295273780822754,0.0002500000118743628,0.526803195476532,0.9829424023628235,0.20227265357971191
2,0.8900690674781799,0.0002500000118743628,0.3793855309486389,0.9957355856895447,0.14905424416065216
3,0.9121083617210388,0.0002500000118743628,0.3298128545284271,0.9957355856895447,0.12936672568321228
4,0.933616578578949,0.0002500000118743628,0.28281354904174805,0.9957355856895447,0.12499221414327621
5,0.9391927719116211,0.0002500000118743628,0.26270434260368347,0.9957355856895447,0.11521275341510773
6,0.9474243521690369,0.0002500000118743628,0.2446860373020172,1.0,0.1112159937620163
7,0.9442379474639893,0.0002500000118743628,0.24221859872341156,1.0,0.10606687515974045
8,0.9540626406669617,0.0002500000118743628,0.22729942202568054,0.9978678226470947,0.10249805450439453
9,0.9628252983093262,0.0002500000118743628,0.20949698984622955,0.9978678226470947,0.09991874545812607
10,0.9599044322967529,0.0002500000118743628,0.2075807899236679,1.0,0.09646417200565338
11,0.9641529321670532,0.0002500000118743628,0.20115625858306885,1.0,0.0954698771238327
12,0.9636218547821045,0.0002500000118743628,0.1885014921426773,1.0,0.0938279926776886
13,0.9588422775268555,0.0002500000118743628,0.19873841106891632,1.0,0.09378904104232788
14,0.9662772417068481,0.0002500000118743628,0.1839601844549179,1.0,0.0909719169139862
