epoch,accuracy,loss,val_accuracy,val_loss
0,0.6712499856948853,0.9917798638343811,0.6912500262260437,1.0766267776489258
1,0.7366666793823242,0.8953275680541992,0.699999988079071,1.1023346185684204
2,0.7414583563804626,0.8738332986831665,0.6987500190734863,1.0855929851531982
3,0.7629166841506958,0.851693332195282,0.6837499737739563,1.079680323600769
4,0.7643749713897705,0.8468862175941467,0.6637499928474426,1.074470043182373
5,0.765625,0.8311413526535034,0.6662499904632568,1.0590096712112427
6,0.7668750286102295,0.8293313384056091,0.6625000238418579,1.0591158866882324
7,0.7802083492279053,0.8139280676841736,0.6612499952316284,1.0516443252563477
8,0.7806249856948853,0.8017752766609192,0.6512500047683716,1.0479326248168945
9,0.7789583206176758,0.8064596056938171,0.6474999785423279,1.0477434396743774
10,0.7787500023841858,0.8004513382911682,0.643750011920929,1.0500588417053223
11,0.7758333086967468,0.7943829894065857,0.6312500238418579,1.051584243774414
