epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.9089583158493042,0.0002500000118743628,0.45785924792289734,0.9850000143051147,0.3668022155761719
1,0.9781249761581421,0.0002500000118743628,0.3603529930114746,0.9937499761581421,0.3370988965034485
2,0.9860416650772095,0.0002500000118743628,0.3371909260749817,0.9987499713897705,0.3187076151371002
3,0.987708330154419,0.0002500000118743628,0.3246990740299225,1.0,0.30809485912323
4,0.9916666746139526,0.0002500000118743628,0.31606200337409973,1.0,0.30370357632637024
5,0.9931250214576721,0.0002500000118743628,0.3084387183189392,1.0,0.2999744117259979
6,0.9941666722297668,0.0002500000118743628,0.3024194836616516,1.0,0.2967912554740906
7,0.9964583516120911,0.0002500000118743628,0.29542532563209534,1.0,0.2898193597793579
8,0.9960416555404663,0.0002500000118743628,0.290457546710968,1.0,0.28162682056427
9,0.9964583516120911,0.0002500000118743628,0.287852942943573,1.0,0.27976194024086
10,0.9979166388511658,0.0002500000118743628,0.2821423411369324,1.0,0.2807530164718628
11,0.9975000023841858,0.0002500000118743628,0.27750203013420105,1.0,0.2753804326057434
12,0.9979166388511658,0.0002500000118743628,0.27286431193351746,1.0,0.27215972542762756
13,0.9983333349227905,0.0002500000118743628,0.2708299458026886,1.0,0.26848918199539185
14,0.9981250166893005,0.0002500000118743628,0.2654070556163788,1.0,0.2636743187904358
