epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.647371232509613,0.0002500000118743628,0.9892094135284424,0.9296375513076782,0.3157682716846466
1,0.8436006307601929,0.0002500000118743628,0.4858189821243286,0.9914712309837341,0.17534571886062622
2,0.902549147605896,0.0002500000118743628,0.3697313368320465,0.9957355856895447,0.1387443244457245
3,0.9214020371437073,0.0002500000118743628,0.31972789764404297,0.9978678226470947,0.1251290887594223
4,0.9322888851165771,0.0002500000118743628,0.28918614983558655,0.9978678226470947,0.11715138703584671
5,0.9405204653739929,0.0002500000118743628,0.26793867349624634,1.0,0.11109411716461182
6,0.9487519860267639,0.0002500000118743628,0.24032504856586456,1.0,0.10778843611478806
7,0.9545937180519104,0.0002500000118743628,0.2292422503232956,1.0,0.10367932170629501
8,0.9537971615791321,0.0002500000118743628,0.22269344329833984,1.0,0.10010833293199539
9,0.9559214115142822,0.0002500000118743628,0.21132884919643402,1.0,0.09993525594472885
10,0.9628252983093262,0.0002500000118743628,0.20533542335033417,1.0,0.0961739793419838
11,0.9636218547821045,0.0002500000118743628,0.20101505517959595,1.0,0.09329073876142502
12,0.9636218547821045,0.0002500000118743628,0.19070309400558472,1.0,0.09262702614068985
13,0.96123206615448,0.0002500000118743628,0.1942604035139084,1.0,0.0907057523727417
14,0.9628252983093262,0.0002500000118743628,0.1799071580171585,1.0,0.08794952929019928
