epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,298.55,2.26507,2.22788,1.85639,0.70192,0.58577,0.60608,0.38282,2.59529,2.62048,2.23943,0.00104231,0.00104231,0.00104231
43,305.124,2.34317,2.28821,1.90977,0.8292,0.54167,0.54147,0.36109,2.69163,2.62318,2.2272,0.00103288,0.00103288,0.00103288
44,312.327,2.35676,2.25435,1.88343,0.58803,0.55907,0.59614,0.38375,2.58402,2.59297,2.25607,0.00102345,0.00102345,0.00102345
45,318.849,2.33032,2.29166,1.88351,0.94312,0.54167,0.5848,0.38992,2.59808,2.58358,2.27916,0.00101402,0.00101402,0.00101402
46,325.906,2.28004,2.25367,1.90195,0.58657,0.58333,0.59195,0.38449,2.66795,2.63812,2.24512,0.00100459,0.00100459,0.00100459
47,332.934,2.29866,2.21206,1.86455,0.58927,0.58333,0.58378,0.3727,2.68381,2.64842,2.20943,0.000995156,0.000995156,0.000995156
48,340.357,2.28112,2.23609,1.84985,0.93594,0.59141,0.61405,0.39162,2.59634,2.63049,2.20167,0.000985724,0.000985724,0.000985724
49,347.352,2.24814,2.23631,1.84353,0.97332,0.52594,0.58129,0.38464,2.65955,2.70042,2.27778,0.000976293,0.000976293,0.000976293
50,354.16,2.24604,2.16949,1.86453,0.53714,0.495,0.51805,0.33857,2.65303,2.72285,2.31182,0.000966861,0.000966861,0.000966861
51,361.146,2.23452,2.11786,1.80258,0.72681,0.54639,0.59782,0.38052,2.62168,2.56977,2.27161,0.00095743,0.00095743,0.00095743
52,368.161,2.23284,2.13607,1.857,0.58746,0.54167,0.54684,0.36771,2.70262,2.72169,2.32492,0.000947999,0.000947999,0.000947999
53,375.231,2.21211,2.16534,1.8577,0.92032,0.58333,0.58439,0.38915,2.61952,2.58745,2.228,0.000938567,0.000938567,0.000938567
54,382.204,2.20658,2.1172,1.80192,0.93634,0.58333,0.61282,0.39147,2.61412,2.60548,2.24566,0.000929136,0.000929136,0.000929136
55,389.352,2.17897,2.07558,1.81021,0.5796,0.58577,0.55087,0.368,2.72162,2.6183,2.33201,0.000919704,0.000919704,0.000919704
56,396.402,2.18574,2.08919,1.8352,0.8444,0.6323,0.63664,0.3856,2.5989,2.55643,2.31215,0.000910273,0.000910273,0.000910273
57,403.508,2.13308,2.06687,1.79949,0.58557,0.625,0.60101,0.32746,2.70626,2.72214,2.31608,0.000900842,0.000900842,0.000900842
58,410.437,2.19982,2.05183,1.80388,0.55946,0.58333,0.56732,0.37433,2.64349,2.70467,2.30131,0.00089141,0.00089141,0.00089141
59,417.499,2.07667,2.00313,1.75107,0.65346,0.57525,0.56543,0.35998,2.64701,2.60623,2.29107,0.000881979,0.000881979,0.000881979
60,424.155,2.09467,1.99444,1.77911,0.53469,0.54171,0.52433,0.35137,2.61496,2.66338,2.2135,0.000872547,0.000872547,0.000872547
61,431.249,2.11816,2.04681,1.76891,0.56364,0.54222,0.52047,0.36542,2.67018,2.70932,2.29429,0.000863116,0.000863116,0.000863116
62,438.967,2.0919,1.99708,1.73046,0.85607,0.5882,0.58729,0.39014,2.708,2.66101,2.33225,0.000853685,0.000853685,0.000853685
